H,RMSE,MAE,R2,Skill,RMSE_base,MAE_base
6,137.28913518783997,68.61974334716797,0.7157989740371704,0.300556771791599,196.2834565430821,102.1871337890625
18,148.8022820410527,79.30827331542969,0.6661847829818726,0.48580542186836717,289.3890520346269,170.2367401123047
36,154.960579664636,83.562255859375,0.638093113899231,0.5994199353462553,386.84046695634106,253.53878784179688
