,60,180,360
0,-3.2312686643446646,-1.4190433601837724,-9.426529208930361
1,-3.1239721468559267,-1.4615988229051484,-13.316330117310674
2,-2.7473031029103328,-2.8911616554554076,-19.061549194279483
3,-2.2057145044757,-3.40038232670551,-17.849210442694254
4,-2.4892812113320977,-5.25320758281954,-14.006507935840588
5,-6.544299826409777,-6.571397990663527,0.1493815937267321
6,-9.41401356716431,-6.127375781900834,0.4678091121860378
7,-19.933344202848048,-11.91144098844158,0.5544888497490985
8,-20.87647175276891,0.13619973869830504,0.5367745079487437
9,-22.545957561800837,0.4940582995952606,0.5346598730569593
10,0.2811864773563538,0.6017609416573662,0.5262321011816259
11,0.5768664967713748,0.5515774870593932,0.4773787197609157
12,0.47209683309262673,0.4463837557539351,0.321586685566172
13,0.18910277169231826,0.26520436344450826,0.16044757249600372
14,0.148377044885877,0.17230760349292606,0.365862102125891
15,0.18131507318401863,0.24331433000582903,0.6985345196327415
16,0.2478654822778994,0.46071175991801727,0.9077195040629729
17,0.2556798846045696,0.5690454765315879,0.9839454731288058
18,0.37397055822002323,0.7095920834278779,0.9902632804217454
19,0.34459501195158915,0.8584115375866734,0.989300636301724
20,0.46027586222911687,0.9649936065188306,0.9889381464024365
21,0.7729562374466996,0.9874554168444353,0.985325249279252
22,0.9576649070254825,0.9800778784565702,0.9553327314989697
23,0.6546151265547795,0.7246928233286695,0.3860722857303662
